,Incident Description,Record Classification
0,"Employee fell and broke orearm while working in office. 
",Level2
1,Employee lost their balance and strained a shoulder while descending a staircase caused when a shoe lace was caught in the grading on the stairs.,Level2
2,Contractor lost his footing and fell while descending a stairway and struck his head causing a laceration requiring sutures.,Level2
3,Employee fell from a bicycle  and fractured a collarbone.  The pedal sheared off causing the rider to loose control and fall. ,Level2
4,Employee was filling the sand blast pot with a 50# bag of grit blast material and tore right bicep as a result of the lift.  ,Level2
5,"Contractor received drops of caustic, PO and water on the left (gloved) hand from a plug of level transmitter that was not tight enough. ",Level2
6,Resident Contractor slipped and fell at grade resulting in medical treatment.,Level2
7,Employee mishandled serving tray resulting in a laceration to the (R) middle finger.,Level2
8,Contractor cut his left thumb when the auto retractable box cutter he was using to open a cardboard box slipped. No gloves were worn. ,Level2
9,Contractor lacerated right ring finger when it was pinched between the top end of the assembly and the crane while lifting the Chlorinator Relief assembly with two cranes. ,Level2
10,Contractor was cutting rubber liner inside vessel and began to complain of headache and chest tightness.  (Level III),Level2
11,Employee was burned when process material came into contact with the hands  while attempting to clear a plugged transmitter line.  ,Level2
12,Contractor sustained a foot fracture while removing a spool piece. When the bull pin was removed from the flange the South end of the loop fell causing the low point bleeder to  strike the contractor.,Level2
13,Two contractors were carrying an extension ladder into the ethylene unit.  The person in front slipped and fell to the ground sustaining an injured knee. (1 contractor injury),Level2
14,"Employee received burns on face, torso and arms  while attempting to clear a plugged hot condensate line on bottom of main fractionator tower during Fluid Unit start up activities.  The plug released, spraying hot condensate on the employee. (Level III)",Level2
15,"While loading a truck with scaffold bars, Contractor pinched his small finger between two tubes, resulting in medical treatment.",Level2
16,Contractor injured his thumb requiring sutures while changing the disk on a grinder. The disk continued to turn because of inertia and his glove was struck by the rotating disk. ,Level2
17,Contractor sustained a spider bite on the evening of 3/4 but did not report it until 3/20/07 when he received medical treatment.,Level2
18,"While stacking a 10' scaffold leg in the material rack, Contractor pinched his right index finger between the scaffold leg and the other material in the rack resulting in a fracture to the finger.",Level2
19,"Contractor working in the Shipping Department injured her back when an empty 55-gallon open-head drum fell, striking her in the lower back. ",Level2
20,Contractor sustained a cut and fracture to his finger while removing bolts on a tank manway. While holding the backup wrench the bolt broke lose and turned.  ,Level2
21,Employee twisted his ankle on concrete grating while connecting a loading arm to a ship.,Level2
22,Employee complained of neck pain and lower back/hip pain after he tripped and fell while tracing lines at grade level.  ,Level2
23,Employee lacerated finger when a bolt broke and pinched his finger between the bolt assembly and heat exchanger as he loosened the end cover. ,Level2
24,Contractor twisted his left wrist when the wrench slipped while opening a fire hydrant valve with a pipe wrench. ,Level2
25,Contractor twisted his ankle when he stepped into a small hole while exiting the DENOX storeroom.,Level2
