,A,B,C,D,E,F,G,Result,Ground truth
181,0.0,0.1678832116788321,0.3684210526315789,0.23671497584541062,0.23557692307692307,0.023,0.75,1.0,0.0
39,0.0,0.656934306569343,0.21052631578947367,0.463768115942029,0.46634615384615385,0.0,0.5,1.0,1.0
274,0.3333333333333333,0.6496350364963503,0.42105263157894735,0.2753623188405797,0.27884615384615385,0.1,0.0,1.0,1.0
147,0.3333333333333333,0.40145985401459855,0.05263157894736842,0.18840579710144928,0.19230769230769232,0.1,1.0,1.0,1.0
17,0.0,0.583941605839416,0.42105263157894735,0.6618357487922706,0.6634615384615384,0.0,0.75,1.0,1.0
204,0.3333333333333333,0.44525547445255476,0.15789473684210525,0.4492753623188406,0.22115384615384615,0.062005,0.75,1.0,1.0
284,0.3333333333333333,0.5912408759124088,0.10526315789473684,0.3188405797101449,0.32211538461538464,0.064417,0.0,1.0,1.0
184,0.0,0.029197080291970802,0.2631578947368421,0.7004830917874396,0.004807692307692308,0.174418,1.0,0.0,1.0
262,0.0,0.45985401459854014,0.21052631578947367,0.3961352657004831,0.39903846153846156,0.03,0.75,1.0,1.0
207,0.3333333333333333,0.6496350364963503,0.15789473684210525,0.30917874396135264,0.3125,0.12,0.75,1.0,1.0
291,0.3333333333333333,0.16058394160583941,0.10526315789473684,0.13043478260869565,0.1346153846153846,0.015501,0.0,1.0,0.0
172,0.0,0.583941605839416,0.05263157894736842,0.1642512077294686,0.16826923076923078,0.0,1.0,1.0,1.0
117,0.0,0.27007299270072993,0.21052631578947367,0.5652173913043478,0.5673076923076923,0.394736,0.0,1.0,1.0
253,0.3333333333333333,0.5182481751824818,0.15789473684210525,0.3719806763285024,0.375,0.05,1.0,1.0,1.0
242,0.0,0.1386861313868613,0.631578947368421,0.5990338164251208,0.6009615384615384,0.1,0.0,1.0,1.0
144,0.0,0.1678832116788321,0.10526315789473684,0.04830917874396135,0.052884615384615384,0.0741,0.25,0.0,0.0
212,0.3333333333333333,0.6423357664233577,0.15789473684210525,0.10628019323671498,0.11057692307692307,0.03,0.0,1.0,1.0
177,0.3333333333333333,0.6496350364963503,0.15789473684210525,0.30434782608695654,0.3076923076923077,0.0,0.0,1.0,1.0
70,0.0,0.043795620437956206,0.42105263157894735,0.42995169082125606,0.4326923076923077,0.0,0.0,1.0,1.0
98,0.3333333333333333,0.6423357664233577,0.05263157894736842,0.38164251207729466,0.38461538461538464,0.0,0.0,1.0,1.0
283,0.0,0.10948905109489052,0.05263157894736842,0.6376811594202898,0.0,0.0,1.0,0.0,1.0
264,0.3333333333333333,0.16058394160583941,0.05263157894736842,0.15458937198067632,0.15865384615384615,0.00775,1.0,1.0,0.0
257,0.0,0.16058394160583941,0.10526315789473684,0.15942028985507245,0.16346153846153846,0.03737,0.0,1.0,0.0
109,0.3333333333333333,0.10948905109489052,0.42105263157894735,0.5748792270531401,0.5769230769230769,0.11,0.0,1.0,1.0
79,0.0,0.49635036496350365,0.2631578947368421,0.2463768115942029,0.25,0.085,0.0,1.0,1.0
50,0.0,0.5328467153284672,0.3157894736842105,0.5169082125603864,0.5048076923076923,0.0,1.0,1.0,0.0
205,0.3333333333333333,0.6131386861313869,0.0,0.33816425120772947,0.34134615384615385,0.011626,0.0,1.0,1.0
107,0.3333333333333333,0.6861313868613139,0.42105263157894735,0.34782608695652173,0.3317307692307692,0.2,1.0,1.0,0.0
167,0.3333333333333333,0.1678832116788321,0.10526315789473684,0.178743961352657,0.18269230769230768,0.023717,0.5,1.0,0.0
188,0.3333333333333333,0.6423357664233577,0.05263157894736842,0.3188405797101449,0.32211538461538464,0.1,1.0,1.0,1.0
